PRCP,SNOW,SNWD,DATE,STATION
    0,    0,    0,2020-12-23,USC00223650
  229,    0,    0,2020-12-24,USC00223650
    5,    0,    0,2020-12-25,USC00223650
    0,    0,    0,2020-12-26,USC00223650
    0,    0,    0,2020-12-27,USC00223650
    0,    0,    0,2020-12-28,USC00223650
    0,    0,    0,2020-12-29,USC00223650
    0,    0,    0,2020-12-30,USC00223650
  122,    0,    0,2020-12-31,USC00223650
  274,    0,    0,2021-01-01,USC00223650
    0,    0,    0,2021-01-02,USC00223650
    0,    0,    0,2021-01-03,USC00223650
    3,    0,    0,2021-01-04,USC00223650
    0,    0,    0,2021-01-05,USC00223650
    0,    0,    0,2021-01-06,USC00223650
   38,    0,    0,2021-01-07,USC00223650
  147,    0,    0,2021-01-08,USC00223650
    0,    0,    0,2021-01-09,USC00223650
    0,    0,    0,2021-01-10,USC00223650
  147,    0,    0,2021-01-11,USC00223650
   51,    0,    0,2021-01-12,USC00223650
    0,    0,    0,2021-01-13,USC00223650
    0,    0,    0,2021-01-14,USC00223650
    0,    0,    0,2021-01-15,USC00223650
    0,    0,    0,2021-01-16,USC00223650
    0,    0,    0,2021-01-17,USC00223650
    0,    0,    0,2021-01-18,USC00223650
    5,    0,    0,2021-01-19,USC00223650
   25,    0,    0,2021-01-20,USC00223650
   64,    0,    0,2021-01-21,USC00223650
  102,    0,    0,2021-01-22,USC00223650
    0,    0,    0,2021-01-23,USC00223650
    0,    0,    0,2021-01-24,USC00223650
   81,    0,    0,2021-01-25,USC00223650
   28,    0,    0,2021-01-26,USC00223650
    0,    0,    0,2021-01-27,USC00223650
    0,    0,    0,2021-01-28,USC00223650
    0,    0,    0,2021-01-29,USC00223650
    0,    0,    0,2021-01-30,USC00223650
   58,    0,    0,2021-01-31,USC00223650
    3,    0,    0,2021-02-01,USC00223650
    0,    0,    0,2021-02-02,USC00223650
    0,    0,    0,2021-02-03,USC00223650
    0,    0,    0,2021-02-04,USC00223650
    0,    0,    0,2021-02-05,USC00223650
   64,    0,    0,2021-02-06,USC00223650
   71,    0,    0,2021-02-07,USC00223650
    5,    0,    0,2021-02-08,USC00223650
    0,    0,    0,2021-02-09,USC00223650
    0,    0,    0,2021-02-10,USC00223650
  249,    0,    0,2021-02-11,USC00223650
  277,    0,    0,2021-02-12,USC00223650
    0,    0,    0,2021-02-13,USC00223650
    0,    0,    0,2021-02-14,USC00223650
,    0,,2021-02-20,USC00223650
,    0,,2021-02-21,USC00223650
  559,    0,    0,2021-02-22,USC00223650
    0,    0,    0,2021-02-23,USC00223650
    0,    0,    0,2021-02-24,USC00223650
    0,    0,    0,2021-02-25,USC00223650
  533,    0,    0,2021-02-26,USC00223650
  206,    0,    0,2021-02-27,USC00223650
    8,    0,    0,2021-02-28,USC00223650
  559,    0,    0,2021-03-01,USC00223650
   51,    0,    0,2021-03-02,USC00223650
   64,    0,    0,2021-03-03,USC00223650
    0,    0,    0,2021-03-04,USC00223650
    0,    0,    0,2021-03-05,USC00223650
    0,    0,    0,2021-03-06,USC00223650
    0,    0,    0,2021-03-07,USC00223650
    0,    0,    0,2021-03-08,USC00223650
    0,    0,    0,2021-03-09,USC00223650
    0,    0,    0,2021-03-10,USC00223650
    0,    0,    0,2021-03-11,USC00223650
    0,    0,    0,2021-03-12,USC00223650
    0,    0,    0,2021-03-13,USC00223650
    0,    0,    0,2021-03-14,USC00223650
   81,    0,    0,2021-03-15,USC00223650
   74,    0,    0,2021-03-16,USC00223650
  175,    0,    0,2021-03-17,USC00223650
   38,    0,    0,2021-03-18,USC00223650
    0,    0,    0,2021-03-19,USC00223650
    0,    0,    0,2021-03-20,USC00223650
    0,    0,    0,2021-03-21,USC00223650
    0,    0,    0,2021-03-22,USC00223650
    5,    0,    0,2021-03-23,USC00223650
   94,    0,    0,2021-03-24,USC00223650
   33,    0,    0,2021-03-25,USC00223650
   94,    0,    0,2021-03-26,USC00223650
    0,    0,    0,2021-03-27,USC00223650
  508,    0,    0,2021-03-28,USC00223650
    5,    0,    0,2021-03-29,USC00223650
    0,    0,    0,2021-03-30,USC00223650
 1008,    0,    0,2021-03-31,USC00223650
   18,    0,    0,2021-04-01,USC00223650
    0,    0,    0,2021-04-02,USC00223650
    0,    0,    0,2021-04-03,USC00223650
    0,    0,    0,2021-04-04,USC00223650
    0,    0,    0,2021-04-05,USC00223650
    0,    0,    0,2021-04-06,USC00223650
    0,    0,    0,2021-04-07,USC00223650
  470,    0,    0,2021-04-08,USC00223650
    0,    0,    0,2021-04-09,USC00223650
  249,    0,    0,2021-04-10,USC00223650
    0,    0,    0,2021-04-11,USC00223650
    0,    0,    0,2021-04-12,USC00223650
    0,    0,    0,2021-04-13,USC00223650
    0,    0,    0,2021-04-14,USC00223650
  117,    0,    0,2021-04-15,USC00223650
    0,    0,    0,2021-04-16,USC00223650
    8,    0,    0,2021-04-17,USC00223650
    0,    0,    0,2021-04-18,USC00223650
    0,    0,    0,2021-04-19,USC00223650
    0,    0,    0,2021-04-20,USC00223650
    0,    0,    0,2021-04-21,USC00223650
    0,    0,    0,2021-04-22,USC00223650
    0,    0,    0,2021-04-23,USC00223650
  312,    0,    0,2021-04-24,USC00223650
    0,    0,    0,2021-04-25,USC00223650
    0,    0,    0,2021-04-26,USC00223650
    0,    0,    0,2021-04-27,USC00223650
    0,    0,    0,2021-04-28,USC00223650
    0,    0,    0,2021-04-29,USC00223650
   97,    0,    0,2021-04-30,USC00223650
    0,    0,    0,2021-05-01,USC00223650
    0,    0,    0,2021-05-02,USC00223650
  117,    0,    0,2021-05-03,USC00223650
   28,    0,    0,2021-05-04,USC00223650
  747,    0,    0,2021-05-05,USC00223650
    0,    0,    0,2021-05-06,USC00223650
    0,    0,    0,2021-05-07,USC00223650
    0,    0,    0,2021-05-08,USC00223650
    0,    0,    0,2021-05-09,USC00223650
  447,    0,    0,2021-05-10,USC00223650
  122,    0,    0,2021-05-11,USC00223650
  185,    0,    0,2021-05-12,USC00223650
    0,    0,    0,2021-05-13,USC00223650
    0,    0,    0,2021-05-14,USC00223650
    0,    0,    0,2021-05-15,USC00223650
    0,    0,    0,2021-05-16,USC00223650
    0,    0,    0,2021-05-17,USC00223650
   94,    0,    0,2021-05-18,USC00223650
    5,    0,    0,2021-05-19,USC00223650
   25,    0,    0,2021-05-20,USC00223650
    0,    0,    0,2021-05-21,USC00223650
    0,    0,    0,2021-05-22,USC00223650
    0,    0,    0,2021-05-23,USC00223650
    0,    0,    0,2021-05-24,USC00223650
    0,    0,    0,2021-05-25,USC00223650
    3,    0,    0,2021-05-26,USC00223650
    0,    0,    0,2021-05-27,USC00223650
    0,    0,    0,2021-05-28,USC00223650
   66,    0,    0,2021-05-29,USC00223650
    0,    0,    0,2021-05-30,USC00223650
    0,    0,    0,2021-05-31,USC00223650
    0,    0,    0,2021-06-01,USC00223650
  150,    0,    0,2021-06-02,USC00223650
   30,    0,    0,2021-06-03,USC00223650
    0,    0,    0,2021-06-04,USC00223650
    0,    0,    0,2021-06-05,USC00223650
  185,    0,    0,2021-06-06,USC00223650
  112,    0,    0,2021-06-07,USC00223650
  714,    0,    0,2021-06-08,USC00223650
 1461,    0,    0,2021-06-09,USC00223650
  244,    0,    0,2021-06-10,USC00223650
  386,    0,    0,2021-06-11,USC00223650
    0,    0,    0,2021-06-12,USC00223650
    0,    0,    0,2021-06-13,USC00223650
   58,    0,    0,2021-06-14,USC00223650
    0,    0,    0,2021-06-15,USC00223650
    0,    0,    0,2021-06-16,USC00223650
    0,    0,    0,2021-06-17,USC00223650
    0,    0,    0,2021-06-18,USC00223650
    0,    0,    0,2021-06-19,USC00223650
    0,    0,    0,2021-06-20,USC00223650
    0,    0,    0,2021-06-21,USC00223650
   61,    0,    0,2021-06-22,USC00223650
    0,    0,    0,2021-06-23,USC00223650
    0,    0,    0,2021-06-24,USC00223650
    0,    0,    0,2021-06-25,USC00223650
    0,    0,    0,2021-06-26,USC00223650
    0,    0,    0,2021-06-27,USC00223650
    0,    0,    0,2021-06-28,USC00223650
   23,    0,    0,2021-06-29,USC00223650
    0,    0,    0,2021-06-30,USC00223650
    0,    0,    0,2021-07-01,USC00223650
  145,    0,    0,2021-07-02,USC00223650
    0,    0,    0,2021-07-03,USC00223650
    5,    0,    0,2021-07-04,USC00223650
    0,    0,    0,2021-07-05,USC00223650
    0,    0,    0,2021-07-06,USC00223650
    0,    0,    0,2021-07-07,USC00223650
   56,    0,    0,2021-07-08,USC00223650
    0,    0,    0,2021-07-09,USC00223650
    0,    0,    0,2021-07-10,USC00223650
  127,    0,    0,2021-07-11,USC00223650
    8,    0,    0,2021-07-12,USC00223650
   69,    0,    0,2021-07-13,USC00223650
  160,    0,    0,2021-07-14,USC00223650
    0,    0,    0,2021-07-15,USC00223650
    0,    0,    0,2021-07-16,USC00223650
   81,    0,    0,2021-07-17,USC00223650
    0,    0,    0,2021-07-18,USC00223650
  114,    0,    0,2021-07-19,USC00223650
   13,    0,    0,2021-07-20,USC00223650
    5,    0,    0,2021-07-21,USC00223650
    5,    0,    0,2021-07-22,USC00223650
    0,    0,    0,2021-07-23,USC00223650
  127,    0,    0,2021-07-24,USC00223650
    0,    0,    0,2021-07-25,USC00223650
    3,    0,    0,2021-07-26,USC00223650
    0,    0,    0,2021-07-27,USC00223650
    0,    0,    0,2021-07-28,USC00223650
    0,    0,    0,2021-07-29,USC00223650
    0,    0,    0,2021-07-30,USC00223650
    0,    0,    0,2021-07-31,USC00223650
    0,    0,    0,2021-08-01,USC00223650
   38,    0,    0,2021-08-02,USC00223650
   64,    0,    0,2021-08-03,USC00223650
    0,    0,    0,2021-08-04,USC00223650
    0,    0,    0,2021-08-05,USC00223650
    0,    0,    0,2021-08-06,USC00223650
   97,    0,    0,2021-08-07,USC00223650
    3,    0,    0,2021-08-08,USC00223650
    0,    0,    0,2021-08-09,USC00223650
    0,    0,    0,2021-08-10,USC00223650
    0,    0,    0,2021-08-11,USC00223650
    0,    0,    0,2021-08-12,USC00223650
   18,    0,    0,2021-08-13,USC00223650
   25,    0,    0,2021-08-14,USC00223650
   28,    0,    0,2021-08-15,USC00223650
    3,    0,    0,2021-08-16,USC00223650
    0,    0,    0,2021-08-17,USC00223650
    0,    0,    0,2021-08-18,USC00223650
  249,    0,    0,2021-08-19,USC00223650
  236,    0,    0,2021-08-20,USC00223650
    3,    0,    0,2021-08-21,USC00223650
   20,    0,    0,2021-08-22,USC00223650
    0,    0,    0,2021-08-23,USC00223650
    0,    0,    0,2021-08-24,USC00223650
    0,    0,    0,2021-08-25,USC00223650
    0,    0,    0,2021-08-26,USC00223650
    0,    0,    0,2021-08-27,USC00223650
    0,    0,    0,2021-08-28,USC00223650
    0,    0,    0,2021-08-29,USC00223650
   66,    0,    0,2021-08-30,USC00223650
  630,    0,    0,2021-08-31,USC00223650
    0,    0,    0,2021-09-01,USC00223650
    0,    0,    0,2021-09-02,USC00223650
    0,    0,    0,2021-09-03,USC00223650
    0,    0,    0,2021-09-04,USC00223650
    0,    0,    0,2021-09-05,USC00223650
    0,    0,    0,2021-09-06,USC00223650
    0,    0,    0,2021-09-07,USC00223650
    0,    0,    0,2021-09-08,USC00223650
    0,    0,    0,2021-09-09,USC00223650
    0,    0,    0,2021-09-10,USC00223650
    0,    0,    0,2021-09-11,USC00223650
    0,    0,    0,2021-09-12,USC00223650
    0,    0,    0,2021-09-13,USC00223650
    0,    0,    0,2021-09-14,USC00223650
    0,    0,    0,2021-09-15,USC00223650
    0,    0,    0,2021-09-16,USC00223650
    0,    0,    0,2021-09-17,USC00223650
    0,    0,    0,2021-09-18,USC00223650
  127,    0,    0,2021-09-19,USC00223650
  107,    0,    0,2021-09-20,USC00223650
    8,    0,    0,2021-09-21,USC00223650
   99,    0,    0,2021-09-22,USC00223650
    0,    0,    0,2021-09-23,USC00223650
    0,    0,    0,2021-09-24,USC00223650
    0,    0,    0,2021-09-25,USC00223650
    0,    0,    0,2021-09-26,USC00223650
    0,    0,    0,2021-09-27,USC00223650
    0,    0,    0,2021-09-28,USC00223650
   18,    0,    0,2021-09-29,USC00223650
  183,    0,    0,2021-09-30,USC00223650
  759,    0,    0,2021-10-01,USC00223650
  216,    0,    0,2021-10-02,USC00223650
    0,    0,    0,2021-10-03,USC00223650
   10,    0,    0,2021-10-04,USC00223650
    0,    0,    0,2021-10-05,USC00223650
   25,    0,    0,2021-10-06,USC00223650
    0,    0,    0,2021-10-07,USC00223650
    0,    0,    0,2021-10-08,USC00223650
    0,    0,    0,2021-10-09,USC00223650
    0,    0,    0,2021-10-10,USC00223650
    0,    0,    0,2021-10-11,USC00223650
   13,    0,    0,2021-10-12,USC00223650
    0,    0,    0,2021-10-13,USC00223650
    0,    0,    0,2021-10-14,USC00223650
    0,    0,    0,2021-10-15,USC00223650
   89,    0,    0,2021-10-16,USC00223650
    0,    0,    0,2021-10-17,USC00223650
    3,    0,    0,2021-10-18,USC00223650
    0,    0,    0,2021-10-19,USC00223650
    0,    0,    0,2021-10-20,USC00223650
    0,    0,    0,2021-10-21,USC00223650
    0,    0,    0,2021-10-22,USC00223650
    0,    0,    0,2021-10-23,USC00223650
    0,    0,    0,2021-10-24,USC00223650
    8,    0,    0,2021-10-25,USC00223650
    0,    0,    0,2021-10-26,USC00223650
    0,    0,    0,2021-10-27,USC00223650
  226,    0,    0,2021-10-28,USC00223650
  320,    0,    0,2021-10-29,USC00223650
   20,    0,    0,2021-10-30,USC00223650
    0,    0,    0,2021-10-31,USC00223650
    0,    0,    0,2021-11-01,USC00223650
    0,    0,    0,2021-11-02,USC00223650
    5,    0,    0,2021-11-03,USC00223650
   23,    0,    0,2021-11-04,USC00223650
    0,    0,    0,2021-11-05,USC00223650
    0,    0,    0,2021-11-06,USC00223650
    0,    0,    0,2021-11-07,USC00223650
    0,    0,    0,2021-11-08,USC00223650
    0,    0,    0,2021-11-09,USC00223650
    0,    0,    0,2021-11-10,USC00223650
   13,    0,    0,2021-11-11,USC00223650
   89,    0,    0,2021-11-12,USC00223650
    0,    0,    0,2021-11-13,USC00223650
    0,    0,    0,2021-11-14,USC00223650
    3,    0,    0,2021-11-15,USC00223650
    0,    0,    0,2021-11-16,USC00223650
    0,    0,    0,2021-11-17,USC00223650
   33,    0,    0,2021-11-18,USC00223650
   30,    0,    0,2021-11-19,USC00223650
    0,    0,    0,2021-11-20,USC00223650
    0,    0,    0,2021-11-21,USC00223650
  325,    0,    0,2021-11-22,USC00223650
    8,    0,    0,2021-11-23,USC00223650
    0,    0,    0,2021-11-24,USC00223650
    0,    0,    0,2021-11-25,USC00223650
  124,    0,    0,2021-11-26,USC00223650
    0,    0,    0,2021-11-27,USC00223650
    0,    0,    0,2021-11-28,USC00223650
    0,    0,    0,2021-11-29,USC00223650
    0,    0,    0,2021-11-30,USC00223650
    0,    0,    0,2021-12-01,USC00223650
    0,    0,    0,2021-12-02,USC00223650
    0,    0,    0,2021-12-03,USC00223650
    0,    0,    0,2021-12-04,USC00223650
    0,    0,    0,2021-12-05,USC00223650
   94,    0,    0,2021-12-06,USC00223650
   51,    0,    0,2021-12-07,USC00223650
    0,    0,    0,2021-12-08,USC00223650
    0,    0,    0,2021-12-09,USC00223650
    0,    0,    0,2021-12-10,USC00223650
  173,    0,    0,2021-12-11,USC00223650
   46,    0,    0,2021-12-12,USC00223650
    0,    0,    0,2021-12-13,USC00223650
    5,    0,    0,2021-12-14,USC00223650
    8,    0,    0,2021-12-15,USC00223650
    0,    0,    0,2021-12-16,USC00223650
    0,    0,    0,2021-12-17,USC00223650
   20,    0,    0,2021-12-18,USC00223650
   20,    0,    0,2021-12-19,USC00223650
    0,    0,    0,2021-12-20,USC00223650
   64,    0,    0,2021-12-21,USC00223650
    5,    0,    0,2021-12-22,USC00223650
    0,    0,    0,2021-12-23,USC00223650
    0,    0,    0,2021-12-24,USC00223650
    0,    0,    0,2021-12-25,USC00223650
    0,    0,    0,2021-12-26,USC00223650
    0,    0,    0,2021-12-27,USC00223650
    0,    0,    0,2021-12-28,USC00223650
  249,    0,    0,2021-12-29,USC00223650
  305,    0,    0,2021-12-30,USC00223650
    0,    0,    0,2021-12-31,USC00223650
    0,    0,    0,2022-01-01,USC00223650
  345,    0,    0,2022-01-02,USC00223650
   58,    0,    0,2022-01-03,USC00223650
    0,    0,    0,2022-01-04,USC00223650
    0,    0,    0,2022-01-05,USC00223650
   79,    0,    0,2022-01-06,USC00223650
    0,    0,    0,2022-01-07,USC00223650
    0,    0,    0,2022-01-08,USC00223650
    0,    0,    0,2022-01-09,USC00223650
   91,    0,    0,2022-01-10,USC00223650
    0,    0,    0,2022-01-11,USC00223650
    0,    0,    0,2022-01-12,USC00223650
    0,    0,    0,2022-01-13,USC00223650
    0,    0,    0,2022-01-14,USC00223650
    8,    0,    0,2022-01-15,USC00223650
  152,    0,    0,2022-01-16,USC00223650
   18,    0,    0,2022-01-17,USC00223650
    0,    0,    0,2022-01-18,USC00223650
    0,    0,    0,2022-01-19,USC00223650
  277,    0,    0,2022-01-20,USC00223650
    0,    0,    0,2022-01-21,USC00223650
    0,    0,    0,2022-01-22,USC00223650
    0,    0,    0,2022-01-23,USC00223650
    0,    0,    0,2022-01-24,USC00223650
    0,    0,    0,2022-01-25,USC00223650
    0,    0,    0,2022-01-26,USC00223650
    0,    0,    0,2022-01-27,USC00223650
    0,    0,    0,2022-01-28,USC00223650
    0,    0,    0,2022-01-29,USC00223650
    0,    0,    0,2022-01-30,USC00223650
    0,    0,    0,2022-01-31,USC00223650
    0,    0,    0,2022-02-01,USC00223650
   36,    0,    0,2022-02-02,USC00223650
   84,    0,    0,2022-02-03,USC00223650
  277,    0,    0,2022-02-04,USC00223650
    0,    0,    0,2022-02-05,USC00223650
    0,    0,    0,2022-02-06,USC00223650
    0,    0,    0,2022-02-07,USC00223650
    0,    0,    0,2022-02-08,USC00223650
    0,    0,    0,2022-02-09,USC00223650
    0,    0,    0,2022-02-10,USC00223650
    0,    0,    0,2022-02-11,USC00223650
    0,    0,    0,2022-02-12,USC00223650
    0,    0,    0,2022-02-13,USC00223650
   25,    0,    0,2022-02-14,USC00223650
    0,    0,    0,2022-02-15,USC00223650
    0,    0,    0,2022-02-16,USC00223650
    0,    0,    0,2022-02-17,USC00223650
  216,    0,    0,2022-02-18,USC00223650
    0,    0,    0,2022-02-19,USC00223650
    0,    0,    0,2022-02-20,USC00223650
   13,    0,    0,2022-02-21,USC00223650
  191,    0,    0,2022-02-22,USC00223650
  566,    0,    0,2022-02-23,USC00223650
   36,    0,    0,2022-02-24,USC00223650
   58,    0,    0,2022-02-25,USC00223650
   13,    0,    0,2022-02-26,USC00223650
  401,    0,    0,2022-02-27,USC00223650
    8,    0,    0,2022-02-28,USC00223650
    0,    0,    0,2022-03-01,USC00223650
    0,    0,    0,2022-03-02,USC00223650
    0,    0,    0,2022-03-03,USC00223650
    0,    0,    0,2022-03-04,USC00223650
    0,    0,    0,2022-03-05,USC00223650
    0,    0,    0,2022-03-06,USC00223650
   69,    0,    0,2022-03-07,USC00223650
   20,    0,    0,2022-03-08,USC00223650
  140,    0,    0,2022-03-09,USC00223650
    0,    0,    0,2022-03-10,USC00223650
    0,    0,    0,2022-03-11,USC00223650
   15,    0,    0,2022-03-12,USC00223650
   15,    0,    0,2022-03-13,USC00223650
    0,    0,    0,2022-03-14,USC00223650
   28,    0,    0,2022-03-15,USC00223650
  310,    0,    0,2022-03-16,USC00223650
    5,    0,    0,2022-03-17,USC00223650
  191,    0,    0,2022-03-18,USC00223650
    0,    0,    0,2022-03-19,USC00223650
    0,    0,    0,2022-03-20,USC00223650
    0,    0,    0,2022-03-21,USC00223650
    0,    0,    0,2022-03-22,USC00223650
  323,    0,    0,2022-03-23,USC00223650
    0,    0,    0,2022-03-24,USC00223650
    0,    0,    0,2022-03-25,USC00223650
    0,    0,    0,2022-03-26,USC00223650
    0,    0,    0,2022-03-27,USC00223650
    0,    0,    0,2022-03-28,USC00223650
    0,    0,    0,2022-03-29,USC00223650
    0,    0,    0,2022-03-30,USC00223650
  406,    0,    0,2022-03-31,USC00223650
    0,    0,    0,2022-04-01,USC00223650
    0,    0,    0,2022-04-02,USC00223650
    0,    0,    0,2022-04-03,USC00223650
    0,    0,    0,2022-04-04,USC00223650
   94,    0,    0,2022-04-05,USC00223650
    0,    0,    0,2022-04-06,USC00223650
    0,    0,    0,2022-04-07,USC00223650
    0,    0,    0,2022-04-08,USC00223650
    0,    0,    0,2022-04-09,USC00223650
