PRCP,SNOW,SNWD,DATE,STATION
    0,    0,,2022-10-15,US1KYSC0022
    0,    0,,2022-10-16,US1KYSC0022
    0,    0,,2022-10-17,US1KYSC0022
    0,    0,,2022-10-18,US1KYSC0022
    0,    0,,2022-10-19,US1KYSC0022
    0,    0,,2022-10-20,US1KYSC0022
    0,    0,,2022-10-21,US1KYSC0022
    0,    0,,2022-10-22,US1KYSC0022
    0,    0,,2022-10-23,US1KYSC0022
    0,    0,,2022-10-24,US1KYSC0022
    0,    0,,2022-10-25,US1KYSC0022
   48,,,2022-10-26,US1KYSC0022
    5,,,2022-10-27,US1KYSC0022
    0,    0,,2022-10-28,US1KYSC0022
    0,    0,,2022-10-29,US1KYSC0022
    0,    0,,2022-10-30,US1KYSC0022
  130,,,2022-10-31,US1KYSC0022
   43,,,2022-11-01,US1KYSC0022
    0,    0,,2022-11-02,US1KYSC0022
    0,    0,,2022-11-03,US1KYSC0022
    0,    0,,2022-11-04,US1KYSC0022
    0,    0,,2022-11-05,US1KYSC0022
    0,    0,,2022-11-06,US1KYSC0022
    0,    0,,2022-11-07,US1KYSC0022
    0,    0,,2022-11-08,US1KYSC0022
    0,    0,,2022-11-09,US1KYSC0022
    0,    0,,2022-11-10,US1KYSC0022
   58,,,2022-11-11,US1KYSC0022
  140,,,2022-11-12,US1KYSC0022
   56,,,2022-11-13,US1KYSC0022
    0,    0,,2022-11-14,US1KYSC0022
    5,,,2022-11-15,US1KYSC0022
   13,,,2022-11-16,US1KYSC0022
    5,    0,    0,2022-11-17,US1KYSC0022
    0,    0,,2022-11-18,US1KYSC0022
    0,    0,,2022-11-19,US1KYSC0022
    0,    0,,2022-11-20,US1KYSC0022
    0,    0,,2022-11-21,US1KYSC0022
    0,    0,,2022-11-22,US1KYSC0022
    0,    0,,2022-11-23,US1KYSC0022
    0,    0,,2022-11-24,US1KYSC0022
    5,,,2022-11-25,US1KYSC0022
    0,    0,,2022-11-26,US1KYSC0022
  102,,,2022-11-27,US1KYSC0022
   15,,,2022-11-28,US1KYSC0022
    0,    0,,2022-11-29,US1KYSC0022
  241,,,2022-11-30,US1KYSC0022
    0,    0,,2022-12-01,US1KYSC0022
    0,    0,,2022-12-02,US1KYSC0022
   94,,,2022-12-03,US1KYSC0022
    0,    0,,2022-12-04,US1KYSC0022
    0,    0,,2022-12-05,US1KYSC0022
   18,,,2022-12-06,US1KYSC0022
  137,,,2022-12-07,US1KYSC0022
    5,,,2022-12-08,US1KYSC0022
   79,,,2022-12-09,US1KYSC0022
    0,    0,,2022-12-10,US1KYSC0022
    0,    0,,2022-12-11,US1KYSC0022
    0,    0,,2022-12-13,US1KYSC0022
  127,,,2022-12-14,US1KYSC0022
  399,,,2022-12-15,US1KYSC0022
   13,,,2022-12-16,US1KYSC0022
    0,    0,,2022-12-17,US1KYSC0022
    0,    0,,2022-12-18,US1KYSC0022
    0,    0,,2022-12-19,US1KYSC0022
    0,    0,,2022-12-20,US1KYSC0022
    0,    0,,2022-12-21,US1KYSC0022
    0,    0,,2022-12-22,US1KYSC0022
   86,,,2022-12-23,US1KYSC0022
    0,    0,,2022-12-24,US1KYSC0022
    0,    0,,2022-12-25,US1KYSC0022
    0,    0,,2022-12-26,US1KYSC0022
    5,   13,,2022-12-27,US1KYSC0022
    0,    0,,2022-12-28,US1KYSC0022
    0,    0,,2022-12-29,US1KYSC0022
    0,    0,,2022-12-30,US1KYSC0022
   58,,,2022-12-31,US1KYSC0022
   13,,,2023-01-01,US1KYSC0022
    0,    0,,2023-01-02,US1KYSC0022
  622,,,2023-01-03,US1KYSC0022
  358,,,2023-01-04,US1KYSC0022
   13,,,2023-01-05,US1KYSC0022
    0,    0,,2023-01-06,US1KYSC0022
    0,    0,,2023-01-07,US1KYSC0022
    0,    0,,2023-01-08,US1KYSC0022
    0,    0,,2023-01-09,US1KYSC0022
    0,    0,,2023-01-10,US1KYSC0022
    0,    0,,2023-01-11,US1KYSC0022
   20,,,2023-01-12,US1KYSC0022
  160,,,2023-01-13,US1KYSC0022
    5,,,2023-01-14,US1KYSC0022
    0,    0,,2023-01-15,US1KYSC0022
    0,    0,,2023-01-16,US1KYSC0022
   36,,,2023-01-17,US1KYSC0022
    0,    0,,2023-01-18,US1KYSC0022
   86,,,2023-01-19,US1KYSC0022
   10,,,2023-01-20,US1KYSC0022
    5,,,2023-01-21,US1KYSC0022
   38,,,2023-01-22,US1KYSC0022
   46,    8,,2023-01-23,US1KYSC0022
    0,    0,,2023-01-24,US1KYSC0022
   28,,,2023-01-25,US1KYSC0022
   13,,,2023-01-26,US1KYSC0022
    5,,,2023-01-27,US1KYSC0022
    0,    0,,2023-01-28,US1KYSC0022
   51,,,2023-01-29,US1KYSC0022
    8,,,2023-01-30,US1KYSC0022
   61,,,2023-01-31,US1KYSC0022
    0,    0,,2023-02-02,US1KYSC0022
    0,    0,,2023-02-03,US1KYSC0022
    0,    0,,2023-02-04,US1KYSC0022
    0,    0,,2023-02-05,US1KYSC0022
    0,    0,,2023-02-06,US1KYSC0022
    0,    0,,2023-02-07,US1KYSC0022
    5,,,2023-02-08,US1KYSC0022
    3,,,2023-02-09,US1KYSC0022
    0,    0,,2023-02-10,US1KYSC0022
    0,    0,,2023-02-11,US1KYSC0022
    0,    0,,2023-02-12,US1KYSC0022
    0,    0,,2023-02-13,US1KYSC0022
    0,    0,,2023-02-14,US1KYSC0022
   15,,,2023-02-15,US1KYSC0022
  119,,,2023-02-16,US1KYSC0022
  320,,,2023-02-17,US1KYSC0022
    0,    0,,2023-02-18,US1KYSC0022
    0,    0,,2023-02-19,US1KYSC0022
    0,    0,,2023-02-20,US1KYSC0022
    0,    0,,2023-02-21,US1KYSC0022
   33,,,2023-02-22,US1KYSC0022
   66,,,2023-02-23,US1KYSC0022
    5,,,2023-02-24,US1KYSC0022
    0,    0,,2023-02-25,US1KYSC0022
    8,,,2023-02-26,US1KYSC0022
    8,,,2023-02-27,US1KYSC0022
   30,,,2023-02-28,US1KYSC0022
    0,    0,,2023-03-01,US1KYSC0022
   61,,,2023-03-02,US1KYSC0022
   84,,,2023-03-03,US1KYSC0022
  259,,,2023-03-04,US1KYSC0022
    0,    0,,2023-03-05,US1KYSC0022
    0,    0,,2023-03-06,US1KYSC0022
    0,    0,,2023-03-07,US1KYSC0022
    0,    0,,2023-03-08,US1KYSC0022
    0,    0,,2023-03-09,US1KYSC0022
   25,,,2023-03-10,US1KYSC0022
    0,    0,,2023-03-11,US1KYSC0022
    0,,,2023-03-12,US1KYSC0022
    3,,,2023-03-13,US1KYSC0022
   13,,,2023-03-14,US1KYSC0022
    0,    0,,2023-03-15,US1KYSC0022
    0,    0,,2023-03-16,US1KYSC0022
   61,,,2023-03-17,US1KYSC0022
   20,,,2023-03-18,US1KYSC0022
    0,    0,,2023-03-19,US1KYSC0022
    0,    0,,2023-03-20,US1KYSC0022
    0,    0,,2023-03-21,US1KYSC0022
    5,,,2023-03-22,US1KYSC0022
   15,,,2023-03-23,US1KYSC0022
  244,,,2023-03-24,US1KYSC0022
  312,,,2023-03-25,US1KYSC0022
    0,    0,,2023-03-26,US1KYSC0022
    0,    0,,2023-03-27,US1KYSC0022
    0,    0,,2023-03-28,US1KYSC0022
    0,    0,,2023-03-30,US1KYSC0022
   48,,,2023-03-31,US1KYSC0022
  290,,,2023-04-01,US1KYSC0022
    0,    0,,2023-04-02,US1KYSC0022
    0,    0,,2023-04-03,US1KYSC0022
    0,    0,,2023-04-04,US1KYSC0022
   18,,,2023-04-05,US1KYSC0022
  152,,,2023-04-06,US1KYSC0022
   13,,,2023-04-07,US1KYSC0022
    0,    0,,2023-04-08,US1KYSC0022
    0,    0,,2023-04-09,US1KYSC0022
    0,    0,,2023-04-10,US1KYSC0022
    0,    0,,2023-04-11,US1KYSC0022
    0,    0,,2023-04-12,US1KYSC0022
    0,    0,,2023-04-13,US1KYSC0022
    0,    0,,2023-04-14,US1KYSC0022
    0,    0,,2023-04-15,US1KYSC0022
    3,,,2023-04-16,US1KYSC0022
    8,,,2023-04-17,US1KYSC0022
    0,    0,,2023-04-18,US1KYSC0022
    0,    0,,2023-04-19,US1KYSC0022
    0,    0,,2023-04-20,US1KYSC0022
    0,    0,,2023-04-21,US1KYSC0022
  246,,,2023-04-22,US1KYSC0022
    3,,,2023-04-23,US1KYSC0022
    0,    0,,2023-04-24,US1KYSC0022
    0,    0,,2023-04-25,US1KYSC0022
    0,    0,,2023-04-26,US1KYSC0022
    0,    0,,2023-04-27,US1KYSC0022
  117,,,2023-04-28,US1KYSC0022
    3,,,2023-04-29,US1KYSC0022
    0,,,2023-04-30,US1KYSC0022
    8,,,2023-05-01,US1KYSC0022
    5,,,2023-05-02,US1KYSC0022
    0,    0,,2023-05-03,US1KYSC0022
    0,    0,,2023-05-04,US1KYSC0022
    0,    0,,2023-05-05,US1KYSC0022
    0,    0,,2023-05-06,US1KYSC0022
    0,    0,,2023-05-07,US1KYSC0022
  422,,,2023-05-08,US1KYSC0022
    0,    0,,2023-05-09,US1KYSC0022
    0,    0,,2023-05-10,US1KYSC0022
    0,    0,,2023-05-11,US1KYSC0022
    5,,,2023-05-12,US1KYSC0022
    8,,,2023-05-13,US1KYSC0022
    3,,,2023-05-14,US1KYSC0022
    0,    0,,2023-05-15,US1KYSC0022
    0,    0,,2023-05-16,US1KYSC0022
  203,,,2023-05-17,US1KYSC0022
    0,    0,,2023-05-18,US1KYSC0022
    0,    0,,2023-05-19,US1KYSC0022
   56,,,2023-05-20,US1KYSC0022
   53,,,2023-05-21,US1KYSC0022
    0,    0,,2023-05-22,US1KYSC0022
    0,    0,,2023-05-23,US1KYSC0022
    0,    0,,2023-05-24,US1KYSC0022
    0,    0,,2023-05-25,US1KYSC0022
    0,    0,,2023-05-26,US1KYSC0022
    0,    0,,2023-05-27,US1KYSC0022
    5,,,2023-05-28,US1KYSC0022
   13,,,2023-05-29,US1KYSC0022
    5,,,2023-05-30,US1KYSC0022
    0,    0,,2023-05-31,US1KYSC0022
    0,    0,,2023-06-01,US1KYSC0022
    0,    0,,2023-06-02,US1KYSC0022
    0,    0,,2023-06-03,US1KYSC0022
    0,    0,,2023-06-04,US1KYSC0022
    0,    0,,2023-06-05,US1KYSC0022
    0,    0,,2023-06-06,US1KYSC0022
   28,,,2023-06-07,US1KYSC0022
   13,,,2023-06-08,US1KYSC0022
    0,    0,,2023-06-09,US1KYSC0022
,,,2023-06-12,US1KYSC0022
    0,    0,,2023-06-13,US1KYSC0022
    0,    0,,2023-06-14,US1KYSC0022
    0,    0,,2023-06-15,US1KYSC0022
    0,    0,,2023-06-16,US1KYSC0022
    0,    0,,2023-06-17,US1KYSC0022
    0,    0,,2023-06-18,US1KYSC0022
    8,,,2023-06-19,US1KYSC0022
  325,,,2023-06-20,US1KYSC0022
    5,,,2023-06-21,US1KYSC0022
    0,    0,,2023-06-22,US1KYSC0022
   33,,,2023-06-23,US1KYSC0022
   15,,,2023-06-24,US1KYSC0022
    0,    0,,2023-06-25,US1KYSC0022
  160,,,2023-06-26,US1KYSC0022
    5,,,2023-06-27,US1KYSC0022
    0,    0,,2023-06-28,US1KYSC0022
    0,    0,,2023-06-29,US1KYSC0022
   69,,,2023-06-30,US1KYSC0022
  394,,,2023-07-01,US1KYSC0022
  224,,,2023-07-02,US1KYSC0022
   46,,,2023-07-03,US1KYSC0022
    0,    0,,2023-07-04,US1KYSC0022
  112,,,2023-07-05,US1KYSC0022
    0,    0,,2023-07-06,US1KYSC0022
    0,    0,,2023-07-07,US1KYSC0022
    0,    0,,2023-07-08,US1KYSC0022
   99,,,2023-07-09,US1KYSC0022
    5,,,2023-07-10,US1KYSC0022
    0,    0,,2023-07-11,US1KYSC0022
    0,    0,,2023-07-12,US1KYSC0022
    0,    0,,2023-07-13,US1KYSC0022
   18,,,2023-07-14,US1KYSC0022
    0,    0,,2023-07-15,US1KYSC0022
  277,,,2023-07-16,US1KYSC0022
    8,,,2023-07-17,US1KYSC0022
   53,,,2023-07-18,US1KYSC0022
   46,,,2023-07-19,US1KYSC0022
    0,    0,,2023-07-20,US1KYSC0022
    3,,,2023-07-21,US1KYSC0022
    0,    0,,2023-07-22,US1KYSC0022
    0,    0,,2023-07-23,US1KYSC0022
    0,    0,,2023-07-24,US1KYSC0022
   30,,,2023-07-25,US1KYSC0022
    0,    0,,2023-07-26,US1KYSC0022
    0,    0,,2023-07-27,US1KYSC0022
  226,,,2023-07-28,US1KYSC0022
    5,,,2023-07-29,US1KYSC0022
    0,    0,,2023-07-30,US1KYSC0022
    0,    0,,2023-07-31,US1KYSC0022
    0,    0,,2023-08-01,US1KYSC0022
    0,    0,,2023-08-02,US1KYSC0022
    0,    0,,2023-08-03,US1KYSC0022
    0,    0,,2023-08-04,US1KYSC0022
    0,    0,,2023-08-05,US1KYSC0022
   28,,,2023-08-06,US1KYSC0022
   18,,,2023-08-07,US1KYSC0022
  224,,,2023-08-08,US1KYSC0022
    0,    0,,2023-08-09,US1KYSC0022
  318,,,2023-08-10,US1KYSC0022
    0,    0,,2023-08-11,US1KYSC0022
    0,    0,,2023-08-12,US1KYSC0022
    5,,,2023-08-13,US1KYSC0022
   56,,,2023-08-14,US1KYSC0022
  157,,,2023-08-15,US1KYSC0022
   30,,,2023-08-16,US1KYSC0022
    0,    0,,2023-08-17,US1KYSC0022
    0,    0,,2023-08-18,US1KYSC0022
    0,    0,,2023-08-19,US1KYSC0022
    0,    0,,2023-08-20,US1KYSC0022
    0,    0,,2023-08-21,US1KYSC0022
    0,    0,,2023-08-22,US1KYSC0022
    0,    0,,2023-08-23,US1KYSC0022
    0,    0,,2023-08-24,US1KYSC0022
   53,,,2023-08-25,US1KYSC0022
   36,,,2023-08-26,US1KYSC0022
   94,,,2023-08-27,US1KYSC0022
    0,    0,,2023-08-28,US1KYSC0022
    0,    0,,2023-08-29,US1KYSC0022
    0,    0,,2023-08-30,US1KYSC0022
    0,    0,,2023-08-31,US1KYSC0022
    0,    0,,2023-09-01,US1KYSC0022
    0,    0,,2023-09-02,US1KYSC0022
    0,    0,,2023-09-03,US1KYSC0022
    0,    0,,2023-09-04,US1KYSC0022
    0,    0,,2023-09-05,US1KYSC0022
    0,    0,,2023-09-06,US1KYSC0022
   18,,,2023-09-07,US1KYSC0022
    0,    0,,2023-09-08,US1KYSC0022
    0,    0,,2023-09-09,US1KYSC0022
    0,    0,,2023-09-10,US1KYSC0022
    0,    0,,2023-09-11,US1KYSC0022
    0,    0,,2023-09-12,US1KYSC0022
    5,,,2023-09-13,US1KYSC0022
    0,    0,,2023-09-14,US1KYSC0022
    0,    0,,2023-09-15,US1KYSC0022
    0,    0,,2023-09-16,US1KYSC0022
   20,,,2023-09-17,US1KYSC0022
  102,,,2023-09-18,US1KYSC0022
    0,    0,,2023-09-19,US1KYSC0022
    0,    0,,2023-09-20,US1KYSC0022
    0,    0,,2023-09-21,US1KYSC0022
    0,    0,,2023-09-22,US1KYSC0022
    0,    0,,2023-09-23,US1KYSC0022
    0,    0,,2023-09-24,US1KYSC0022
    0,    0,,2023-09-25,US1KYSC0022
    0,    0,,2023-09-26,US1KYSC0022
  417,,,2023-09-27,US1KYSC0022
  140,,,2023-09-28,US1KYSC0022
    0,    0,,2023-09-29,US1KYSC0022
    0,    0,,2023-09-30,US1KYSC0022
,,,2023-10-07,US1KYSC0022
    0,    0,,2023-10-08,US1KYSC0022
    0,    0,,2023-10-09,US1KYSC0022
    0,    0,,2023-10-11,US1KYSC0022
    0,    0,,2023-10-12,US1KYSC0022
    0,    0,,2023-10-13,US1KYSC0022
   86,,,2023-10-14,US1KYSC0022
   13,,,2023-10-15,US1KYSC0022
   18,,,2023-10-16,US1KYSC0022
    0,    0,,2023-10-17,US1KYSC0022
    0,    0,,2023-10-18,US1KYSC0022
    0,    0,,2023-10-19,US1KYSC0022
  231,,,2023-10-20,US1KYSC0022
   51,,,2023-10-21,US1KYSC0022
    0,    0,,2023-10-22,US1KYSC0022
    0,    0,,2023-10-23,US1KYSC0022
    0,    0,,2023-10-24,US1KYSC0022
    0,    0,,2023-10-25,US1KYSC0022
    0,    0,,2023-10-26,US1KYSC0022
    0,    0,,2023-10-27,US1KYSC0022
   28,,,2023-10-28,US1KYSC0022
  102,,,2023-10-29,US1KYSC0022
  218,,,2023-10-30,US1KYSC0022
   20,,,2023-10-31,US1KYSC0022
    0,    0,,2023-11-01,US1KYSC0022
    0,    0,,2023-11-02,US1KYSC0022
    0,    0,,2023-11-03,US1KYSC0022
    0,    0,,2023-11-04,US1KYSC0022
    0,    0,,2023-11-05,US1KYSC0022
    0,    0,,2023-11-06,US1KYSC0022
    0,    0,,2023-11-07,US1KYSC0022
    0,    0,,2023-11-08,US1KYSC0022
    0,    0,,2023-11-09,US1KYSC0022
    8,,,2023-11-10,US1KYSC0022
    0,    0,,2023-11-11,US1KYSC0022
    0,    0,,2023-11-12,US1KYSC0022
    0,    0,,2023-11-13,US1KYSC0022
    0,    0,,2023-11-14,US1KYSC0022
    0,    0,,2023-11-15,US1KYSC0022
    0,    0,,2023-11-16,US1KYSC0022
    0,    0,,2023-11-17,US1KYSC0022
   18,,,2023-11-18,US1KYSC0022
    0,    0,,2023-11-19,US1KYSC0022
    0,    0,,2023-11-20,US1KYSC0022
  246,,,2023-11-21,US1KYSC0022
   81,,,2023-11-22,US1KYSC0022
    0,    0,,2023-11-23,US1KYSC0022
    0,    0,,2023-11-24,US1KYSC0022
    0,    0,,2023-11-25,US1KYSC0022
    0,    0,,2023-11-26,US1KYSC0022
   25,,,2023-11-27,US1KYSC0022
    0,    0,,2023-11-28,US1KYSC0022
    0,    0,,2023-11-29,US1KYSC0022
    0,    0,,2023-11-30,US1KYSC0022
   64,,,2023-12-01,US1KYSC0022
   28,,,2023-12-02,US1KYSC0022
    3,,,2023-12-03,US1KYSC0022
    0,    0,,2023-12-04,US1KYSC0022
    0,    0,,2023-12-05,US1KYSC0022
    8,,,2023-12-06,US1KYSC0022
    0,    0,,2023-12-07,US1KYSC0022
    0,    0,,2023-12-08,US1KYSC0022
   28,,,2023-12-09,US1KYSC0022
  180,,,2023-12-10,US1KYSC0022
    0,    0,,2023-12-11,US1KYSC0022
    0,    0,,2023-12-12,US1KYSC0022
    0,    0,,2023-12-13,US1KYSC0022
    0,    0,,2023-12-14,US1KYSC0022
    0,    0,,2023-12-15,US1KYSC0022
    0,    0,,2023-12-16,US1KYSC0022
  165,,,2023-12-17,US1KYSC0022
    0,    0,,2023-12-18,US1KYSC0022
   20,    0,,2023-12-19,US1KYSC0022
    0,    0,,2023-12-20,US1KYSC0022
    0,    0,,2023-12-21,US1KYSC0022
    0,    0,,2023-12-22,US1KYSC0022
    0,    0,,2023-12-23,US1KYSC0022
   13,,,2023-12-24,US1KYSC0022
    0,    0,,2023-12-25,US1KYSC0022
  127,,,2023-12-26,US1KYSC0022
    5,,,2023-12-27,US1KYSC0022
    8,,,2023-12-28,US1KYSC0022
    3,,,2023-12-29,US1KYSC0022
   13,,,2023-12-30,US1KYSC0022
    0,    0,,2023-12-31,US1KYSC0022
   13,,,2024-01-01,US1KYSC0022
    0,    0,,2024-01-02,US1KYSC0022
    0,    0,,2024-01-03,US1KYSC0022
    0,    0,,2024-01-04,US1KYSC0022
    0,    0,,2024-01-05,US1KYSC0022
  109,,,2024-01-06,US1KYSC0022
   53,,,2024-01-07,US1KYSC0022
    5,,,2024-01-08,US1KYSC0022
  241,,,2024-01-09,US1KYSC0022
  178,    0,,2024-01-10,US1KYSC0022
    5,,,2024-01-11,US1KYSC0022
    5,,,2024-01-12,US1KYSC0022
  229,    0,,2024-01-13,US1KYSC0022
    0,    0,    0,2024-01-14,US1KYSC0022
    3,    0,,2024-01-15,US1KYSC0022
    0,    0,,2024-01-16,US1KYSC0022
    0,    0,,2024-01-17,US1KYSC0022
    0,    0,,2024-01-18,US1KYSC0022
   28,   51,,2024-01-19,US1KYSC0022
   10,   25,,2024-01-20,US1KYSC0022
    0,    0,,2024-01-21,US1KYSC0022
    0,    0,,2024-01-22,US1KYSC0022
    0,    0,,2024-01-23,US1KYSC0022
   23,,,2024-01-24,US1KYSC0022
  274,,,2024-01-25,US1KYSC0022
   91,,,2024-01-26,US1KYSC0022
    3,,,2024-01-27,US1KYSC0022
  109,,,2024-01-28,US1KYSC0022
   48,,,2024-01-29,US1KYSC0022
    0,    0,,2024-01-30,US1KYSC0022
   18,,,2024-01-31,US1KYSC0022
    0,    0,,2024-02-01,US1KYSC0022
    0,    0,,2024-02-02,US1KYSC0022
    0,    0,,2024-02-03,US1KYSC0022
    0,    0,,2024-02-04,US1KYSC0022
    0,    0,,2024-02-05,US1KYSC0022
    0,    0,,2024-02-06,US1KYSC0022
    0,    0,,2024-02-07,US1KYSC0022
    0,    0,,2024-02-08,US1KYSC0022
